,사고번호,사고일시,요일,도로종류,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,연령대,가해연령대
2296,2019121900100527,18,목요일,경부진출로,대구광역시,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,0,39,상해없음,승용,1,54,중상,30.0,30.0
2297,2019122700100489,18,금요일,경부진출로,대구광역시,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,화물,0,43,상해없음,승용,1,36,경상,40.0,40.0
2298,2020012500100326,21,토요일,경부진출로,대구광역시,중상사고,0,1,3,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,0,46,상해없음,승합,0,37,중상,40.0,40.0
2299,2020021000100497,18,월요일,경부진출로,대구광역시,사망사고,1,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,0,81,사망,승용,0,33,경상,70.0,70.0
2300,2020022100100363,15,금요일,경부진출로,대구광역시,경상사고,0,0,3,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,0,65,상해없음,승용,0,22,경상,60.0,60.0
2301,2020052200100366,15,금요일,경부진출로,대구광역시,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,0,42,상해없음,승용,1,42,경상,40.0,40.0
2302,2020092500100573,18,금요일,경부진출로,대구광역시,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,특수,0,50,상해없음,승용,1,30,경상,40.0,40.0
2303,2020110500100156,9,목요일,경부진출로,대구광역시,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,0,57,상해없음,승용,0,30,경상,50.0,50.0
2304,2019010500100313,15,토요일,경인,경기도,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 교량,화물,0,53,상해없음,승용,1,48,경상,50.0,50.0
2305,2019010700100418,18,월요일,경인,경기도,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 교량,승용,0,42,상해없음,승용,0,30,경상,40.0,40.0
2306,2019011300100068,3,일요일,경인,인천광역시,중상사고,0,1,0,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 교량,승용,1,25,상해없음,승용,1,50,중상,20.0,20.0
2307,2019011800100542,19,금요일,경인,경기도,경상사고,0,0,2,0,차대차 - 기타,기타,포장 - 건조,맑음,단일로 - 교량,기타불명,2,0,기타불명,승용,0,22,경상,20.0,20.0
2308,2019011900100469,21,토요일,경인,경기도,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 교량,승용,0,70,상해없음,승용,0,27,상해없음,60.0,60.0
2309,2019012000100112,6,일요일,경인,서울특별시,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 교량,승용,0,29,상해없음,화물,0,58,경상,20.0,20.0
